state_abbr.x,state_name,county_name.x,fips,stroke_prev,obesity_prev,chd_prev,high_bp_prev,diabetes_prev,smoking_prev,inactivity_prev,state_abbr.y,county_name.y,uninsured_pct,pcp_rate,preventable_hospital_stays,child_poverty_pct,unemployment_pct
FL,Florida,Martin,12085,2.7,27.9,5.4,26.7,9.4,12.3,20.7,FL,Martin County,0.1350048576,6.940016e-4,2816,0.17,0.0289105608
GA,Georgia,Catoosa,13047,2.9,33.9,5.5,31.7,10.3,14.9,24,GA,Catoosa County,0.1223467983,5.702004e-4,2191,0.14800000000000002,0.0266689857
GA,Georgia,Lowndes,13185,3.8,40.2,6.1,37.3,13.4,16.2,29.9,GA,Lowndes County,0.14261727680000005,5.617224000000001e-4,3021,0.231,0.03481182530000001
GA,Georgia,Twiggs,13289,4.1,39.5,6.4,39,13.7,19,31.1,GA,Twiggs County,0.1453416149,1.2729119999999e-4,3215,0.309,0.04896142429999999
ID,Idaho,Clearwater,16035,3.1,31.8,5.8,29.1,9.2,14.7,22.6,ID,Clearwater County,0.0943232953,0.0013490725,1918,0.191,0.0568347421
IN,Indiana,Clay,18021,3.1,42.9,6.1,36,11.5,18.2,26.1,IN,Clay County,0.06823329560000001,4.922378e-4,3202,0.15900000000000003,0.03425662270000001
KS,Kansas,Jackson,20085,2.9,37.7,5.7,30.6,9.7,16.3,25.5,KS,Jackson County,0.1035075982,6.786817999999998e-4,2125,0.121,0.0233663904
MI,Michigan,Antrim,26009,2.7,36.4,5.4,30.3,8.8,14.1,20.8,MI,Antrim County,0.0676543781,6.719018999999999e-4,2343,0.15700000000000003,0.05356114420000001
NE,Nebraska,Perkins,31135,2.7,40.7,5.3,29.8,9,14.3,24.6,NE,Perkins County,0.1082594494,0.001059322,NA,0.116,0.0165929204
NV,Nevada,Mineral,32021,4.1,38.4,7.3,34.6,12.8,22.2,31.6,NV,Mineral County,0.108056872,0.0010902747,1650,0.226,0.0683477107
NY,New York,Schuyler,36097,3,31.2,5.8,30.2,9.1,15.3,24.1,NY,Schuyler County,0.05521335810000001,6.196484999999999e-4,2648,0.189,0.0391795628
NC,North Carolina,Halifax,37083,4.8,42.6,7.1,42.9,15.2,20.5,33.1,NC,Halifax County,0.1224448609,4.7646670000000006e-4,3306,0.416,0.05177959950000001
ND,North Dakota,Towner,38095,3.3,43.9,6.3,32.8,10.4,17.6,27.3,ND,Towner County,0.0950134771,NA,3600,0.132,0.0200174064
OK,Oklahoma,Kiowa,40075,3.9,42.8,7.4,38.7,13.1,20.5,34.4,OK,Kiowa County,0.13867838740000002,3.567182e-4,4326,0.3,0.036
OK,Oklahoma,Muskogee,40101,4,41.7,7.3,39.5,13.4,21.2,35,OK,Muskogee County,0.1518705405,4.535422e-4,3672,0.265,0.03917115100000001
OK,Oklahoma,Oklahoma,40109,3.3,37.9,6.3,35.9,12,14.5,29.1,OK,Oklahoma County,0.1488416662,8.126976000000001e-4,2439,0.222,0.0315603831
TN,Tennessee,Sullivan,47163,3.2,37.7,6.2,35.5,11.9,19.7,27.2,TN,Sullivan County,0.10502264670000004,0.0012118168,2984,0.19,0.03475211220000001
TX,Texas,Hansford,48195,3.2,37.4,5.9,32.2,12.3,14.1,30.5,TX,Hansford County,0.27108851400000006,5.81508e-4,2546,0.132,0.0260342368
TX,Texas,Menard,48327,3.2,37.6,5.9,32.5,12.1,15,30,TX,Menard County,0.25804038890000003,5.045408999999999e-4,1531,0.344,0.0365135453
VA,Virginia,Nelson,51125,3,NA,5.6,NA,NA,NA,NA,VA,Nelson County,0.1216464891,8.113590000000001e-4,2008,0.17800000000000002,0.0270984798
VA,Virginia,Staunton,51790,3,NA,NA,NA,NA,NA,NA,VA,Staunton city,0.0722394746,4.6763570000000007e-4,1984,0.165,0.0262707912
WV,West Virginia,Ohio,54069,NA,40.1,NA,NA,NA,NA,NA,WV,Ohio County,0.06552445720000001,0.00131654539999999,3501,0.173,0.03813284020000001
WI,Wisconsin,Jefferson,55055,2.7,NA,NA,NA,NA,NA,NA,WI,Jefferson County,0.0609978452,3.884958e-4,2627,0.098,0.0275588847
WI,Wisconsin,Pepin,55091,2.7,NA,NA,NA,NA,NA,NA,WI,Pepin County,0.08830336479999998,6.789787999999998e-4,2635,0.14800000000000002,0.03126503129999999
WI,Wisconsin,Vernon,55123,3.1,NA,NA,NA,NA,NA,NA,WI,Vernon County,0.1244027023,0.0010350962,1825,0.183,0.0281911755
AK,Alaska,Sitka,02220,2.8,29.7,5,30,8.4,13.9,18.4,AK,Sitka Borough,0.14954505430000004,0.0021410729,2905,0.106,0.029652578
AL,Alabama,Covington,01039,3.7,38.1,6.6,39.6,12.8,18.3,29.7,AL,Covington County,0.1103448276,4.7969300000000006e-4,5148,0.224,0.0274341044
CA,California,Fresno,06019,3.4,37.9,6,31.4,12.4,13.4,31,CA,Fresno County,0.07661904020000002,6.758217e-4,3188,0.233,0.07462476140000003
AR,Arkansas,Cleveland,05025,3.6,42.2,6.7,39.4,11.6,18.2,32.4,AR,Cleveland County,0.0831903945,NA,3359,0.208,0.0347085789
AL,Alabama,Marshall,01095,3.4,37.6,6.4,37.5,12.4,16.8,29.7,AL,Marshall County,0.12417450220000002,5.497414e-4,3202,0.215,0.0205583207
CA,California,Colusa,06011,3.3,35.3,5.9,29.6,12.2,13.5,29.8,CA,Colusa County,0.0977555287,2.7376010000000004e-4,3088,0.14200000000000002,0.12991679270000003
CA,California,Placer,06061,2.4,27.2,4.4,27.4,7.9,9.6,17.9,CA,Placer County,0.0372506774,0.0012199854,1698,0.061,0.03725881910000001
AL,Alabama,Coffee,01031,3.5,40.8,6.3,39.5,12.7,16.7,28.8,AL,Coffee County,0.115180798,5.168531000000002e-4,3229,0.21,0.0250677196
AR,Arkansas,Desha,05041,5.2,46.6,8.1,46.7,17.1,23,44.3,AR,Desha County,0.1045673077,4.508566e-4,5233,0.356,0.0460310966
CA,California,Inyo,06027,2.8,28.5,5.2,27.8,9.4,12.4,21.1,CA,Inyo County,0.07341939269999999,6.852926e-4,1198,0.14200000000000002,0.03782166370000001
AK,Alaska,Fairbanks North Star,02090,2.7,35.8,5,31.7,8.3,14.3,21.8,AK,Fairbanks North Star Borough,0.1109260287,8.578034000000001e-4,1286,0.079,0.0380447922
AR,Arkansas,Lawrence,05075,3.8,44.1,7.3,39.1,12,20.6,34.8,AR,Lawrence County,0.09115913559999998,3.0689909999999994e-4,2777,0.245,0.0335600237
AL,Alabama,Lee,01081,3.3,39.9,5.9,38.6,12.7,13.8,25.7,AL,Lee County,0.1004613633,4.965636e-4,2107,0.14900000000000002,0.02293318229999999
AR,Arkansas,Drew,05043,4,45,7.1,41.8,13.5,18.6,35.1,AR,Drew County,0.08651881009999998,9.351257e-4,6173,0.278,0.0415253087
AL,Alabama,Cullman,01043,3.3,36.2,6.3,37.3,11,16.9,25.9,AL,Cullman County,0.1164789446,4.804684e-4,3936,0.213,0.02041586
AL,Alabama,Dallas,01047,5.2,46.5,7.2,49.2,18.1,20.1,36.1,AL,Dallas County,0.0973662639,7.177224e-4,3264,0.465,0.05422176260000001
AL,Alabama,Clarke,01025,4.1,44.2,6.5,43.5,14.9,18.3,32.5,AL,Clarke County,0.1148128868,3.954306e-4,2715,0.28700000000000003,0.04992754579999999
