state_abbr,state_name,county_name,fips,stroke_prev,obesity_prev,chd_prev,high_bp_prev,diabetes_prev,smoking_prev,inactivity_prev
FL,Florida,Martin,12085,2.7,27.9,5.4,26.7,9.4,12.3,20.7
GA,Georgia,Catoosa,13047,2.9,33.9,5.5,31.7,10.3,14.9,24
GA,Georgia,Lowndes,13185,3.8,40.2,6.1,37.3,13.4,16.2,29.9
GA,Georgia,Twiggs,13289,4.1,39.5,6.4,39,13.7,19,31.1
ID,Idaho,Clearwater,16035,3.1,31.8,5.8,29.1,9.2,14.7,22.6
IN,Indiana,Clay,18021,3.1,42.9,6.1,36,11.5,18.2,26.1
KS,Kansas,Jackson,20085,2.9,37.7,5.7,30.6,9.7,16.3,25.5
MI,Michigan,Antrim,26009,2.7,36.4,5.4,30.3,8.8,14.1,20.8
NE,Nebraska,Perkins,31135,2.7,40.7,5.3,29.8,9,14.3,24.6
NV,Nevada,Mineral,32021,4.1,38.4,7.3,34.6,12.8,22.2,31.6
NY,New York,Schuyler,36097,3,31.2,5.8,30.2,9.1,15.3,24.1
NC,North Carolina,Halifax,37083,4.8,42.6,7.1,42.9,15.2,20.5,33.1
ND,North Dakota,Towner,38095,3.3,43.9,6.3,32.8,10.4,17.6,27.3
OK,Oklahoma,Kiowa,40075,3.9,42.8,7.4,38.7,13.1,20.5,34.4
OK,Oklahoma,Muskogee,40101,4,41.7,7.3,39.5,13.4,21.2,35
OK,Oklahoma,Oklahoma,40109,3.3,37.9,6.3,35.9,12,14.5,29.1
TN,Tennessee,Sullivan,47163,3.2,37.7,6.2,35.5,11.9,19.7,27.2
TX,Texas,Hansford,48195,3.2,37.4,5.9,32.2,12.3,14.1,30.5
TX,Texas,Menard,48327,3.2,37.6,5.9,32.5,12.1,15,30
VA,Virginia,Nelson,51125,3,NA,5.6,NA,NA,NA,NA
VA,Virginia,Staunton,51790,3,NA,NA,NA,NA,NA,NA
WV,West Virginia,Ohio,54069,NA,40.1,NA,NA,NA,NA,NA
WI,Wisconsin,Jefferson,55055,2.7,NA,NA,NA,NA,NA,NA
WI,Wisconsin,Pepin,55091,2.7,NA,NA,NA,NA,NA,NA
WI,Wisconsin,Vernon,55123,3.1,NA,NA,NA,NA,NA,NA
AK,Alaska,Sitka,02220,2.8,29.7,5,30,8.4,13.9,18.4
AL,Alabama,Covington,01039,3.7,38.1,6.6,39.6,12.8,18.3,29.7
CA,California,Fresno,06019,3.4,37.9,6,31.4,12.4,13.4,31
AR,Arkansas,Cleveland,05025,3.6,42.2,6.7,39.4,11.6,18.2,32.4
AL,Alabama,Marshall,01095,3.4,37.6,6.4,37.5,12.4,16.8,29.7
CA,California,Colusa,06011,3.3,35.3,5.9,29.6,12.2,13.5,29.8
