state_abbr,state_name,county_count,avg_priority_score
MS,Mississippi,82,1.02
LA,Louisiana,64,0.805
AL,Alabama,67,0.617
AR,Arkansas,75,0.591
OK,Oklahoma,77,0.578
GA,Georgia,159,0.533
TN,Tennessee,95,0.402
TX,Texas,244,0.377
SC,South Carolina,46,0.311
MO,Missouri,115,0.216
AK,Alaska,30,0.141
NC,North Carolina,100,0.096
FL,Florida,67,0.061
WV,West Virginia,1,0.015
NM,New Mexico,33,0.009
OH,Ohio,88,0.002
AZ,Arizona,15,-0.031
IN,Indiana,92,-0.082
NV,Nevada,17,-0.126
MI,Michigan,83,-0.128
VA,Virginia,78,-0.143
SD,South Dakota,66,-0.148
IL,Illinois,102,-0.162
KS,Kansas,105,-0.238
DE,Delaware,3,-0.275
ND,North Dakota,53,-0.446
MT,Montana,56,-0.453
CA,California,58,-0.455
IA,Iowa,99,-0.459
ID,Idaho,44,-0.471
NE,Nebraska,93,-0.49
OR,Oregon,36,-0.491
NY,New York,62,-0.529
MD,Maryland,24,-0.593
WI,Wisconsin,3,-0.601
ME,Maine,16,-0.604
MN,Minnesota,87,-0.606
WA,Washington,6,-0.648
NJ,New Jersey,21,-0.661
UT,Utah,19,-0.842
CO,Colorado,64,-0.872
MA,Massachusetts,14,-0.967
HI,Hawaii,5,-1.043
DC,District of Columbia,1,-1.048
CT,Connecticut,9,-1.07
NH,New Hampshire,10,-1.114
RI,Rhode Island,5,-1.125
VT,Vermont,9,-1.218
US,United States,1,NA
