fips,state_abbr,state_name,county_name,burden_score_simple
46102,SD,South Dakota,Oglala Lakota,30.685714285714287
22035,LA,Louisiana,East Carroll,30.67142857142857
46121,SD,South Dakota,Todd,30.414285714285718
28053,MS,Mississippi,Humphreys,30.114285714285717
28051,MS,Mississippi,Holmes,29.671428571428574
01011,AL,Alabama,Bullock,29.614285714285717
01063,AL,Alabama,Greene,29.571428571428573
28143,MS,Mississippi,Tunica,29.17142857142857
01105,AL,Alabama,Perry,29.142857142857142
28125,MS,Mississippi,Sharkey,29.014285714285716
28063,MS,Mississippi,Jefferson,28.928571428571427
28119,MS,Mississippi,Quitman,28.928571428571427
22065,LA,Louisiana,Madison,28.928571428571423
38085,ND,North Dakota,Sioux,28.72857142857143
22027,LA,Louisiana,Claiborne,28.38571428571429
28021,MS,Mississippi,Claiborne,28.27142857142857
02158,AK,Alaska,Kusilvak,28.242857142857144
01131,AL,Alabama,Wilcox,28.085714285714285
01085,AL,Alabama,Lowndes,28
28163,MS,Mississippi,Yazoo,27.942857142857147
