fips,state_abbr,state_name,county_name,priority_score,state_rank
22035,LA,Louisiana,East Carroll,3.336775284214338,1
02158,AK,Alaska,Kusilvak,3.1447910030601793,1
28055,MS,Mississippi,Issaquena,2.8183492930951335,1
46102,SD,South Dakota,Oglala Lakota,2.785809581225406,1
47095,TN,Tennessee,Lake,2.626904995269349,1
48427,TX,Texas,Starr,2.3264708653210926,1
01131,AL,Alabama,Wilcox,2.293601176908969,1
13193,GA,Georgia,Macon,1.958852117856888,1
05077,AR,Arkansas,Lee,1.8241607467221816,1
40029,OK,Oklahoma,Coal,1.77245875274343,1
37155,NC,North Carolina,Robeson,1.767578446166005,1
38085,ND,North Dakota,Sioux,1.725950290972088,1
45069,SC,South Carolina,Marlboro,1.7107851335717763,1
29155,MO,Missouri,Pemiscot,1.676114034122938,1
35031,NM,New Mexico,McKinley,1.4985886404513378,1
51730,VA,Virginia,Petersburg,1.3679343254951566,1
12043,FL,Florida,Glades,1.3604757877382485,1
04001,AZ,Arizona,Apache,1.3572802848961247,1
06025,CA,California,Imperial,1.30939209047769,1
17153,IL,Illinois,Pulaski,1.1271091324834337,1
39105,OH,Ohio,Meigs,1.0708990046914073,1
30035,MT,Montana,Glacier,0.9930936592065548,1
26085,MI,Michigan,Lake,0.8901126907429686,1
27087,MN,Minnesota,Mahnomen,0.7932233736633972,1
32009,NV,Nevada,Esmeralda,0.7295621323710296,1
18025,IN,Indiana,Crawford,0.7045674526149462,1
36005,NY,New York,Bronx,0.7011239331306914,1
20189,KS,Kansas,Stevens,0.6427182123945053,1
16033,ID,Idaho,Clark,0.563729194971845,1
34011,NJ,New Jersey,Cumberland,0.5512443853359568,1
08011,CO,Colorado,Bent,0.3902222399411199,1
31173,NE,Nebraska,Thurston,0.37384433174841664,1
19047,IA,Iowa,Crawford,0.34215111185210234,1
24039,MD,Maryland,Somerset,0.32841063061765097,1
41045,OR,Oregon,Malheur,0.21172849625497855,1
23029,ME,Maine,Washington,0.18648226956711977,1
49037,UT,Utah,San Juan,0.15588442398482752,1
10001,DE,Delaware,Kent,0.09726982362871284,1
54069,WV,West Virginia,Ohio,0.01452900288665626,1
25013,MA,Massachusetts,Hampden,-0.06819129793803674,1
53005,WA,Washington,Benton,-0.3048918879952961,1
55123,WI,Wisconsin,Vernon,-0.4218341599822269,1
44007,RI,Rhode Island,Providence,-0.5591342219424644,1
33007,NH,New Hampshire,Coos,-0.6244218773934502,1
50009,VT,Vermont,Essex,-0.757134901231171,1
09180,CT,Connecticut,Southeastern Connecticut,-0.8073752254362133,1
15001,HI,Hawaii,Hawaii,-0.8109188421640641,1
11001,DC,District of Columbia,District of Columbia,-1.0482320720278104,1
59,US,United States,NA,NA,1
