fips,state_abbr,state_name,county_name,burden_score,access_score,social_score,priority_score,priority_rank,priority_tier
22035,LA,Louisiana,East Carroll,3.919816795379078,1.7657725141648912,4.235675661376659,3.336775284214338,1,Very High
02158,AK,Alaska,Kusilvak,3.3619760424699985,1.0097533277426052,5.8043849175119915,3.1447910030601793,2,Very High
28055,MS,Mississippi,Issaquena,2.6919098421504186,2.0096114753906487,4.347554647013646,2.8183492930951335,3,Very High
28063,MS,Mississippi,Jefferson,3.0220208558255166,1.1545503960149506,4.7399380395104975,2.805363154619343,4,Very High
46102,SD,South Dakota,Oglala Lakota,4.577600371680902,0.13609414220974453,2.280905763610158,2.785809581225406,5,Very High
46121,SD,South Dakota,Todd,4.313343680308483,1.1057783284181963,1.089461357950777,2.7062976102698557,6,Very High
28021,MS,Mississippi,Claiborne,2.8362056519944416,2.1391118891706413,2.959232151646925,2.651682823077798,7,Very High
47095,TN,Tennessee,Lake,2.911515172285178,2.6246856058142893,1.9187086369123652,2.626904995269349,8,Very High
28053,MS,Mississippi,Humphreys,3.4877585326329728,0.16069295677344125,3.0002767629109184,2.3921425059307024,9,Very High
48427,TX,Texas,Starr,2.1908234578147927,1.776176134705259,3.4910314800105926,2.3264708653210926,10,Very High
28125,MS,Mississippi,Sharkey,3.136928270572282,0.4253789642213599,3.083176467846397,2.3127131181218283,11,Very High
01131,AL,Alabama,Wilcox,2.81336776043654,0.5270123457686081,3.6440679648005823,2.293601176908969,12,Very High
01105,AL,Alabama,Perry,3.1976352014457485,0.5095836417916029,2.5251547672773866,2.2567236467158325,13,Very High
22065,LA,Louisiana,Madison,3.2256579322238137,0.23887332119176205,2.5877864139517226,2.20204824525978,14,Very High
01011,AL,Alabama,Bullock,3.4964421887368906,0.8545528673688225,0.8022871906814086,2.1650443927153735,15,Very High
28051,MS,Mississippi,Holmes,3.363756820625209,-0.0863410933471867,2.540551326685717,2.164086347645592,16,Very High
48505,TX,Texas,Zapata,1.748995332125715,2.429563789958167,2.7043898076349127,2.14424476457729,17,Very High
28119,MS,Mississippi,Quitman,3.0906993203342736,0.5469637213428189,2.1377028757332273,2.136979351716628,18,Very High
01063,AL,Alabama,Greene,3.3655874422978584,0.009225415928063639,2.2149230611219908,2.1285459581517467,19,Very High
28143,MS,Mississippi,Tunica,3.1645119068302097,0.8730947126082939,1.3547150177001994,2.115127370737633,20,Very High
22027,LA,Louisiana,Claiborne,3.0493711736281366,1.036912902903435,1.3110167792428087,2.0979628135336608,21,Very High
46017,SD,South Dakota,Buffalo,2.871520643523075,0.9450144306489087,1.5370677012277565,2.0266781912017615,22,Very High
48247,TX,Texas,Jim Hogg,2.1182330676280126,2.131534532026634,1.5589176719218818,2.010360427806373,23,Very High
48229,TX,Texas,Hudspeth,1.563016659339067,3.1078777210605097,1.4199786429642716,1.9978673745805406,24,Very High
22107,LA,Louisiana,Tensas,2.697826570316941,0.5230475319953622,2.386689819229292,1.9831655086029374,25,Very High
